id,group,album,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing83,Pree Tone,Kiddy,*,19.08.2019,aug,"nosie rock, shoegaze",rock,eng,,*,*,*,*,*,,*,,Київ,male,Центр
sing84,SHCOLA,Naїve,*,04.02,feb,dark pop,rock,eng,,,*,,,,,*,,Київ,male,Центр
sing85,Stars & Mellow,Everywhere,*,02.04.2019,apr,Alternative,rock,eng,,*,,,*,*,*,*,*,Київ,male,Центр
sing86,Stoned Jesus,Pilgrims,,07.09.2019,sep,rock,rock,eng,,*,*,*,*,*,*,*,*,Київ,male,Центр
sing87,The Troubled,Spacing Away,*,12.09.2019,sep,Punk rock,rock,eng,,,*,*,*,*,*,,*,Київ,male,Центр
sing88,8X8,New Data New Day,,01.12.2019,dec,Psychedelic,rock,eng,,*,,,*,*,*,*,*,"from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)",male,Центр
sing89,AGHIAZMA,Plus Ultra,*,23.11.2019,nov,"post-punk, goth-rock, industrial metal influenced",rock,eng,,*,*,,*,*,*,*,*,Київ,mix,Центр
sing90,DoZa,Shaman's movie,,10.01.2019,jan,psychedelic rock,rock,eng,,*,*,*,*,*,*,*,*,Київ,mix,Центр
sing91,Руки'в Брюки,Jumpin' & Humpin',,27.12.2019,dec,Rock-n-roll,r&b and soul,eng,,,,*,*,*,*,,*,Київ,male,Центр
sing92,Mountain Breeze,Say It Loud,*,04.05.2019,may,Pop/Rock,pop,eng,,*,,,*,*,*,*,*,Полтава,male,Центр
sing93,MARUV,Black Water,*,28.09.2019,sep,dance,pop,eng, укр,*,,,*,*,*,*,*,Київ,mix,Центр
sing94,BSxBC,Cave Canem,,07.06.2019,jun,Thrash/Death,metal,eng,,*,*,*,*,*,,*,*,Київ,male,Центр
sing95,OwlCraft,Enigmatic Dissolution,,08.01.2019,jan,Metal,metal,eng,,,,*,,,,*,,Черкаси,male,Центр
sing96,Raventale,Pathogenesis,,01.10.2019,oct,Atmospheric Black Metal,metal,eng,,,,*,,,,*,,Київ,male,Центр
sing97,Space Of Variations,Mind Darknet,*,01.11.2019,nov,Metal,metal,eng,,*,*,*,*,*,*,*,,Вінниця,male,Центр
sing98,Electric Pussy,Heroin,,15.05.2019,may,,metal,eng,,,,*,,,,,,Черкаси,mix,Центр
