"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year"
"СОЮЗ","Это все совсем не то","sing57","avant-pop / krautpop / fake jazz trio / indie","indie","російська","Київ, Minsk","чоловіча","Київ","Офисная","СОЮЗ_Офисная.mp3","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg","https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to","yes","long list","2018"
"СОЮЗ","Это все совсем не то","sing58","avant-pop / krautpop / fake jazz trio / indie","indie","російська","Київ, Minsk","чоловіча","Закордон","Офисная","СОЮЗ_Офисная.mp3","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg","https://www.facebook.com/gruppasoyuz/","https://soundcloud.com/masterskayalab/sets/soyuz-eto-vse-sovsem-ne-to","yes","long list","2018"
"Счастливые люди","Датаизм","sing59","Крипто-поп","indie","російська","Los Angeles, Київ","мікс","Київ","Благая весть","Schastlivye_lyudi_Blagaya_vest.mp3","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg","https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm","yes","long list","2018"
"Счастливые люди","Датаизм","sing60","Крипто-поп","indie","російська","Los Angeles, Київ","мікс","Закордон","Благая весть","Schastlivye_lyudi_Blagaya_vest.mp3","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg","https://www.facebook.com/happyludy/","https://soundcloud.com/masterskayalab/sets/schastlivye-lyudi-dataizm","yes","long list","2018"
"ТНМК","7","sing61","","hip hop & rap","українська","Харків","чоловіча","Схід","Хоббіт","ТНМК_Хоббіт.mp3","https://notatky.com.ua/wp-content/uploads/tnmk-seven-cover-400.jpg","https://www.facebook.com/TNMKband/?fref=pb&hc_location=profile_browser","https://itunes.apple.com/ru/album/7/1442928820","yes","long list","2018"
"044 Rose","ROSE 044","sing62","hip hop pop","hip hop & rap","російська","Київ","чоловіча","Київ","","","https://fastfoodmusic.com/wp-content/uploads/2018/11/dGwSYqB7D_w.jpg","","https://soundcloud.com/044klan/sets/044-rose-rose-044","","усі альбоми","2018"
"1914","The Blind Leading The Blind","sing63","death\doom metal","metal","англійська","Львів","чоловіча","Захід","","","https://f4.bcbits.com/img/a3668139661_10.jpg","https://www.facebook.com/1914band/","https://x1914x.bandcamp.com/album/the-blind-leading-the-blind","","усі альбоми","2018"
"2sleepy","For The Next Day","sing64","electronic","electronic","немає","Київ Krakow Brooklyn","чоловіча","Київ","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg","https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private","yes","усі альбоми","2018"
"2sleepy","For The Next Day","sing65","electronic","electronic","немає","Київ Krakow Brooklyn","чоловіча","Закордон","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg","https://www.facebook.com/2sleepy.band/","https://soundcloud.com/2sleepy/sets/2sleepy-for-the-next-day-private","yes","усі альбоми","2018"
"8X8","New Data New Day","sing66","Psychedelic","rock","англійська","from duo of Lane Steinberg (NYC, US) and Alex Khodchenko (Kiev, Ukraine)","чоловіча","Київ","","","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg","https://www.facebook.com/8X8theband/","https://www.youtube.com/playlist?list=OLAK5uy_nuqq_aKGvDdEFXuI7mNje0sV7evtSXzGY","","усі альбоми","2018"
