"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"US Orchestra","I","sing241","","30.03.2019","mar","traditional","ethno","немає","","","","*","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://f4.bcbits.com/img/a3716683694_16.jpg",20378,"https://www.facebook.com/UsOrchestra","https://ukrainska-silska-orchestra.bandcamp.com/album/i","","усі альбоми"
"Vakula","Metaphors","sing242","","26.02","feb","electronic","electronic","немає","","","*","","","","","*","","Конотоп","чоловіча","Північ",NA,NA,"","","https://i1.sndcdn.com/artworks-000214862806-gx74jy-t500x500.jpg",20297,"https://www.facebook.com/VakulaLeleka/","https://www.discogs.com/Vakula-Metaphors/release/11626896","","усі альбоми"
"Viu Viu","FAKE BOY","sing243","*","28.09.2019","sep","dance & edm","pop","мікс","eng","*","*","","*","","*","*","*","Київ","мікс","Київ",NA,NA,"","","http://rhyme.ru/wp-content/uploads/2018/10/D5jDVVj7PW4-400x400.jpg",20298,"https://www.facebook.com/viuviumusic/?__tn__=K-R&eid=ARBvTrU6UBVy1uU-ov65wezvGTpptDCXzkRA_0o_wpfo45AB8Xim1peE3FMzT8CHiJ3srIV6Bx0YSNvC&fref=mentions&__xts__%5b0%5d=68.ARDD-qK5GXfxnNJ50wmbhP8OZ0y8W2G8B2ZeNBJA5AEvrRp-Fxrg8zXA2Hn1_hPhPvFLBWO9otZHpiSn4udVbghBKnaxvQ-e1lLmboiVN6sEh0bXGBO2BHJLcTK73baxZkpkg-txGOpQZfuxqU0CCrwjFu9EeGJmJgLx2sOXSG9ij1SjPvXUKw","https://soundcloud.com/viuviumusic/sets/viu-viu-fake-boy","","усі альбоми"
"Vivienne Mort","Досвід","sing244","","19.02","feb","indie","indie","українська","","*","*","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/dosvid-400.jpg",20299,"https://www.facebook.com/vivienne.mort/","https://soundcloud.com/vivienne_mort/sets/dosvid-2018","","усі альбоми"
"Voin Oruwu","Big Space Adventure","sing245","*","15.05.2019","may","electronic","electronic","немає","","","*","","","","","","","Київ","чоловіча","Київ",1,NA,"","","https://imagesaws.juno.co.uk/300/CS686272-01A-MED.jpg",20300,"https://www.facebook.com/oruwu/?ref=py_c&eid=ARCpBhg5CJ2Y6S8Fiu7LgnGJp-5pQ4bvFGgaYUYQ84C0KCO7HY8rXF2a-oETFctZZzdX5emEIdrH54Hc","https://soundcloud.com/privatepersons/privatepersons007","","усі альбоми"
"Voloshyna & Bushiko","10 писем к Сапфо","sing246","","21.03.2019","mar","poetry","indie","російська","","","*","","","","","","","Київ","мікс","Київ",NA,NA,"","","https://scontent.fiev18-1.fna.fbcdn.net/v/t1.0-9/18423728_756385914522244_6928192275539498877_n.jpg?_nc_cat=105&_nc_ht=scontent.fiev18-1.fna&oh=6f1ce5f199316479a111c515a95ec5f8&oe=5C9A7954",20301,"https://www.facebook.com/voloshynabushiko/","https://soundcloud.com/voloshyna-bushiko/sets/10-1","","усі альбоми"
"Vseravno","Ключ ко всему","sing247","","21.02","feb","post-hardcore","rock","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://xzona.su/uploads/posts/2018-02/thumbs/1519484532_11748bf712bb3e6ebe4f7f63cf6043f5.jpg",20302,"https://www.facebook.com/vseravno.official","https://soundcloud.com/vseravnoband/sets/key","","усі альбоми"
"Way Station","The Way of Minstrel","sing248","","08.02","feb","Post-rock","rock","немає","","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a3806226894_16.jpg",20303,"https://www.facebook.com/waystationband/","https://waystation.bandcamp.com/","","усі альбоми"
"Woo York","Chasing The Dream","sing249","","04.05.2019","may","electronic","electronic","немає","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",1,NA,"Second Breath","Woo_York_Second_Breath.mp3","https://scontent.fiev18-1.fna.fbcdn.net/v/t1.0-9/31948851_1255898851206785_3604929633952202752_n.jpg?_nc_cat=109&_nc_ht=scontent.fiev18-1.fna&oh=5396ec8146018e3cea35257c3e08231e&oe=5C9BF19F",20304,"https://www.facebook.com/woo.york.official/","https://soundcloud.com/woo-york/sets/chasing-the-dream-lp","yes","усі альбоми"
"Yotsuya Kaidan","Крошка​-​комета","sing250","*","25.05.2019","may","","rock","російська","","*","*","*","*","*","*","*","*","Одеса","чоловіча","Південь",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4107519467_10.jpg",20305,"https://www.facebook.com/yotsuyakaidanband/","https://yotsuyakaidan.bandcamp.com/album/-","","усі альбоми"
"YUKO","DURA?","sing251","","28.11.2019","nov","electronic","electronic","мікс","рос","*","*","","*","*","*","*","*","Київ","мікс","Київ",1,1,"YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg",20306,"https://www.facebook.com/yukoUA/","https://soundcloud.com/masterskayalab/sets/yuko-dura","yes","усі альбоми"
"Yuriy Seredin","Asylum Search","sing252","*","12.11.2019","nov","Jazz","jazz","немає","","*","","","*","*","*","*","*","Київ","чоловіча","Київ",1,NA,"Asylum Search","Yuriy_Seredin_Asylum_Search.mp3","https://images-na.ssl-images-amazon.com/images/I/61avmspP3eL._SS500.jpg",20307,"https://www.facebook.com/yuriy.seredin","https://itunes.apple.com/de/album/asylum-search-feat-ben-van-gelder-igor-spallati-igor-osypov/1442107261?l=en&fbclid=IwAR3Tu9qVLDA0ARyxy6RfceNz9-rRd1lojxIsbdWiH-9jpcIRHx1bqKtMYiE","yes","усі альбоми"
"ZAVOLOKA","Promeni","sing253","","24.09.2019","sep","Electronica","avant-garde","немає","","*","*","*","","*","","*","","Vienna","жіноча","Закордон",1,NA,"","","https://f4.bcbits.com/img/a1015221388_10.jpg",20308,"https://www.facebook.com/Zavoloka.Official/","https://shop.zavoloka.com/album/promeni","","усі альбоми"
"ZERNO","Егоїст","sing254","","16.02","feb","indie","rock","українська","","*","*","","*","*","","*","*","Житомир","чоловіча","Північ",NA,NA,"","","https://luliq.com/wp-content/uploads/2018/02/artworks-000299676537-6ecca3-original-261x261.jpg",20382,"https://www.facebook.com/zernoband/?__tn__=K-R&eid=ARAtGUl_Z_1cfyesCp4r2W7AVlQ8SX4o7n9yM-8s51e4frMdQ-DHlUGhkU2LW3vMZ5H1TBFgp6hZSmT8&fref=mentions","https://soundcloud.com/zernoband/sets/egoistalbum","","усі альбоми"
"ZWYNTAR","Мертві голоси","sing255","*","14.12.2019","dec","Dark Country / Gothic Americana / Neofolk","country","українська","","*","","*","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://toloka.to/photos/181217213107804752_f0_0.jpg",20309,"https://www.facebook.com/zwyntar/","https://open.spotify.com/album/4MnljRdXRym3wG3GqBsYm2","","усі альбоми"
"Артем Кай","Доля","sing256","*","18.09.2019","sep","R&B/Soul","r&b and soul","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","http://rs.img.com.ua/crop?v2=1&w=600&h=0&url=%2F%2Fv.img.com.ua%2Fb%2Forig%2F3%2Fcf%2Ff2c9b0328d154735e2a44d49fd454cf3.jpg",20311,"https://www.facebook.com/artemkaiofficial/","https://itunes.apple.com/album/id1436170862","","усі альбоми"
"БалансБiлого","На Балансі","sing257","","17.08.2019","aug","hip hop & rap","hip hop & rap","українська","","","*","","","","","*","*","Рівне","чоловіча","Захід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/38494135_1806551662791277_3070537150010228736_n.png",20410,"https://www.facebook.com/balansbilogo","https://soundcloud.com/balansbilogo/sets/na-balans-s2018","","усі альбоми"
"Балдьож","красивый букет","sing258","*","20.10.2019","oct","instagram pop","pop","специфічна","","*","*","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","http://www.intermedia.ru/img/news/328870.jpg",20383,"https://www.facebook.com/baldiozh/?eid=ARDRpXs6EvkTWnkrKYQIBTGDJAB-XQ4tME2_My2bcGs1RxEszzmbdcftMXqahYmuRkQiLu-0vMYE34LC","https://soundcloud.com/baldiozh/sets/buket","","усі альбоми"
"Беz Обмежень","Буду з тобою!","sing259","","18.04.2019","apr","rock","rock","українська","","*","","","*","*","*","*","*","Мукачево","чоловіча","Захід",NA,NA,"","","http://notatky.com.ua/wp-content/uploads/bo-lp-400.jpg",20384,"https://www.facebook.com/bezobmezhenua/","https://itunes.apple.com/ua/album/%D0%B1%D1%83%D0%B4%D1%83-%D0%B7-%D1%82%D0%BE%D0%B1%D0%BE%D1%8E/1372798155?l=uk","","усі альбоми"
"Брудні","Київ","sing260","*","23.11.2019","nov","rock","rock","українська","","*","*","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://i.kfs.io/album/global/41387225,0v1/fit/500x500.jpg",20312,"https://www.facebook.com/brudnikyiv","https://soundcloud.com/brudni/sets/kyiv","","усі альбоми"
"Вагоновожатые","Референс","sing261","","18.11.2019","nov","dans/electro","electronic","мікс","укр","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",1,1,"Chelovecheskie slabosti","Vagonovozhatyie_Chelovecheskie_slabosti.mp3","https://www.buro247.ua/thumb/670x830_0/images/2018/11/vagonovozhatye-reference-album-3.jpg",20313,"https://www.facebook.com/vagonodrivers/","https://itunes.apple.com/ua/album/%D1%80%D0%B5%D1%84%D0%B5%D1%80%D0%B5%D0%BD%D1%81/1441136499","yes","усі альбоми"
"Ведмідь і Вухо","Сороміцькі пісні","sing262","*","05.09.2019","sep","rap & hip hop","hip hop & rap","специфічна","","","*","","","","","*","","Макіївка","чоловіча","Схід",NA,NA,"","","https://i1.sndcdn.com/artworks-000399833100-ixidbz-t500x500.jpg",20314,"https://www.facebook.com/vedmidivuho/","https://soundcloud.com/vedmidivuho/sets/hic93xsopvxm","","усі альбоми"
"ВОЛОК","Смертный","sing263","","19.09.2019","sep","Neo-Folk","avant-garde","немає","","","","*","","","","","","Сміла","чоловіча","Центр",NA,NA,"","","https://f4.bcbits.com/img/a0479781356_16.jpg",20385,"https://www.facebook.com/VOLOK.res/","https://volok.bandcamp.com/album/--5","","усі альбоми"
"ВОЛОК","Хоровод","sing264","","16.05.2019","may","Neo-Folk","avant-garde","немає","","","","*","","","","","","Сміла","чоловіча","Центр",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a3283688473_10.jpg",20315,"https://www.facebook.com/VOLOK.res/","https://volokrecords.bandcamp.com/album/--4","","усі альбоми"
"Ворона","Звуки","sing265","*","16.11.2019","nov","pop","pop","російська","","*","*","","*","*","*","*","*","Київ","жіноча","Київ",NA,NA,"","","https://images.shazam.com/coverart/t450768971-b1442002265_s400.jpg",20316,"","https://itunes.apple.com/ua/album/%D0%B7%D0%B2%D1%83%D0%BA%D0%B8/1442001964?l=ru","","усі альбоми"
"вышел покурить","никогда","sing266","","25.09.2019","sep","hip hop","hip hop & rap","російська","","*","*","","*","*","*","*","*","Одеса","чоловіча","Південь",NA,NA,"","","https://muzonov.net/uploads/posts/2018-09/medium/1537956083_1537953823_cover.jpg",20386,"https://www.facebook.com/%D0%92%D1%8B%D1%88%D0%B5%D0%BB-%D0%9F%D0%BE%D0%BA%D1%83%D1%80%D0%B8%D1%82%D1%8C-132499760760065/","https://soundcloud.com/mld8nk/sets/nikogda","","усі альбоми"
"Гибкий Чаплинъ","Млекопитание","sing267","","22.11.2019","nov","alternative rock","rock","мікс","eng","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://i.scdn.co/image/88e1376f7816230a3c65e758d465b9cc601de9fb",20317,"https://www.facebook.com/gibkiychaplin","https://soundcloud.com/user-271314968/sets/mlekopitanie","","усі альбоми"
"Группа БУДУ","чашКачая","sing268","","01.03.2019","ar","rock","rock","російська","","","*","","*","","","","*","Київ","мікс","Київ",NA,NA,"","","https://i1.sndcdn.com/artworks-000296731776-09ql2o-t500x500.jpg",20318,"https://www.facebook.com/buduband/","https://soundcloud.com/buduband/sets/chashkachaya","","усі альбоми"
"Гуцул Каліпсо","Най Бог Бороне","sing269","","21.11.2019","nov","folk rock","rock","специфічна","","*","","","*","*","*","*","*","Чернівці","чоловіча","Захід",NA,NA,"","","https://toloka.to/photos/181121230210804752_f0_0.jpg",20319,"https://www.facebook.com/GutsulCalipso/","https://itunes.apple.com/ua/album/%D0%BD%D0%B0%D0%B9-%D0%B1%D0%BE%D0%B3-%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B5/1442127964?app=music&fbclid=IwAR0SlAey5XOH4M-_sPMSAfJ693hrysVGNN6DeSHZEIhYU8oQUBY26bmR-Rw&ign-mpt=uo%3D4","","усі альбоми"
"Джонні Дивний | Wootabi.","Повний Абзац: Сторона ""А""","sing270","","12.11.2019","nov","hip-hop & rap","hip hop & rap","українська","","*","*","*","*","*","*","*","*","Рівне","чоловіча","Захід",NA,NA,"","","https://i.scdn.co/image/173d91b21df6f856d3270dc64c3c92c1c96188ca",20320,"","https://soundcloud.com/price-of-da-rhythm/sets/dzhonn-divniy-wootabi-povniy-abzats-storona-a","","усі альбоми"
"Діля і Бєкіров","Молескін","sing271","*","27.04.2019","apr","pop rock","jazz","мікс","eng","*","","","*","*","*","*","*","Харків","чоловіча","Схід",NA,NA,"","","http://notatky.com.ua/wp-content/uploads/dilya-bekirov-moleskin-400.jpg",20321,"https://www.facebook.com/dilyacomua/","https://www.youtube.com/watch?v=MpHTlowrICg&feature=youtu.be","","усі альбоми"
"Довгий Пес","#СОЦІАЛЬНИЙАЛКОГОЛІК","sing272","","12.09.2019","sep","hip hop, rap","hip hop & rap","українська","","*","*","*","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/pes400.jpg",20322,"https://www.facebook.com/DovgiyPes","https://soundcloud.com/dovgiypes/sets/sotsalniyalkogolk","","усі альбоми"
"Дрофа","Keep Blossom In Your Head","sing273","","02.02","feb","hip hop, rap","hip hop & rap","англійська","","","*","","","","","","","Київ","чоловіча","Київ",NA,NA,"","","https://i1.sndcdn.com/artworks-000296125134-06zcgb-t500x500.jpg",20323,"https://www.facebook.com/ddrofa","https://soundcloud.com/ddrofa/sets/keep-blossom-in-your-head-album","","усі альбоми"
"Елена Войнаровская","Метеозависимость","sing274","","08.09.2019","sep","art-rock","rock","російська","","*","*","*","*","*","*","*","*","Одеса","жіноча","Південь",NA,NA,"","","https://f4.bcbits.com/img/a0638595134_16.jpg",20324,"https://www.facebook.com/e.voynarovskaya","https://elena-v.bandcamp.com/album/--4","","усі альбоми"
"Євген Могилевський","Сьома печатка Галілея","sing275","","27.12.2019","dec","folk funk","ethno","українська","","","*","","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://yt3.ggpht.com/a-/AAuE7mCZtjjOhZrQ4rVZUvC7Wofui-X_GnY0gnLvag=s900-mo-c-c0xffffffff-rj-k-no",20325,"https://www.facebook.com/evgenmogilevskyi/","https://soundcloud.com/evgenmogylevskyi/sets/y6tuevyzlo6r/s-TIPJm","","усі альбоми"
"Женя і Катя","Літаки","sing276","*","04.05.2019","may","synthpop, romantik indie","indie","мікс","eng","*","*","","*","*","*","*","*","Вінниця","мікс","Центр",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/litaky-400.jpg",20326,"https://www.facebook.com/ZhenyaiKatyaOfficial/","https://soundcloud.com/zhenyaikatyaofficial/sets/2018-1","","усі альбоми"
"Змій Львівський","Ц. Є.","sing277","","15.02","feb","Rap","hip hop & rap","мікс","рос","*","*","*","*","*","*","*","*","невідомо, десь закордоном","чоловіча","Закордон",NA,NA,"","","https://f4.bcbits.com/img/a2635841894_16.jpg",20328,"https://www.facebook.com/aromotherapy","https://aromotherapyrecords.bandcamp.com/album/--10","","усі альбоми"
"Зэ Джозерс","Сложные Машинные Биты","sing278","","26.10.2019","oct","post-punk","rock","мікс","укр","*","*","*","*","*","*","*","","Калуш","чоловіча","Захід",NA,NA,"","","https://i1.sndcdn.com/artworks-000427741497-6dics2-t500x500.jpg",20327,"https://www.facebook.com/zejozers/","https://soundcloud.com/zejozers/sets/smb","","усі альбоми"
"Кашляючий Ед","Переклад","sing279","","21.06.2019","jun","rap","hip hop & rap","українська","","*","*","","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","https://i1.sndcdn.com/artworks-000363124155-ewwywb-t500x500.jpg",20329,"","https://soundcloud.com/glava94/sets/kashlyayuchiy-ed-pereklad-2018","","усі альбоми"
"Кімната Гретхен","Гравітанці","sing280","","06.04.2019","apr","indie","pop","українська","","","*","*","*","","","*","","Дніпро","чоловіча","Центр",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/gravitanzi-400.jpg",20330,"https://www.facebook.com/kimnatagrethen.band/","https://soundcloud.com/kimnata-grethen-40590427/sets/gravtants","","усі альбоми"
"Курган & Agregat","С.Ш.Р.","sing281","*","30.04.2019","apr","Hip-Hop/Rap","hip hop & rap","специфічна","","*","*","","*","*","*","*","*","Близнюки","чоловіча","Схід",NA,NA,"","","https://i.kfs.io/album/global/34508267,0v1/fit/500x500.jpg",20331,"","https://itunes.apple.com/ua/album/%D1%81-%D1%88-%D1%80/1377618325?app=itunes&ign-mpt=uo%253D4","","усі альбоми"
"Луи Франк","Атлантида","sing282","*","31.01.2019","jan","pop","pop","російська","","*","*","","*","*","*","*","*","Zurich, Київ","чоловіча","Київ",1,NA,"Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg",20332,"https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","усі альбоми"
"Луи Франк","Атлантида","sing283","*","31.01.2019","jan","pop","pop","російська","","*","*","","*","*","*","*","*","Zurich, Київ","чоловіча","Закордон",1,NA,"Перекрестки (feat. Дина Корзун & Илья Галушко)","Луи_Франк_Перекрестки.mp3","https://is2-ssl.mzstatic.com/image/thumb/Music118/v4/a3/0c/01/a30c0189-0a5c-c9de-79ae-a1720bad1298/5060268290037.jpg/268x0w.jpg",20332,"https://www.facebook.com/louisfranck.official/","https://itunes.apple.com/ua/album/%D0%BB%D1%83%D0%B8-%D1%84%D1%80%D0%B0%D0%BD%D0%BA-%D0%B0%D1%82%D0%BB%D0%B0%D0%BD%D1%82%D0%B8%D0%B4%D0%B0-feat-%D0%B4%D0%B8%D0%BD%D0%B0-%D0%BA%D0%BE%D1%80%D0%B7%D1%83%D0%BD-%D0%B8%D0%BB%D1%8C%D1%8F-%D0%B3%D0%B0%D0%BB%D1%83%D1%88%D0%BA%D0%BE/1343628387?l=ru","yes","усі альбоми"
"Луна","Заколдованные сны","sing284","","24.10.2019","oct","pop","pop","російська","","*","*","","*","*","*","*","*","Київ","жіноча","Київ",1,NA,"Спящая красавица","Luna_Спящая_красавица.mp3","https://t2.genius.com/unsafe/300x300/https%3A%2F%2Fimages.genius.com%2Feb6497928c8e7da2cb4d153126410f01.1000x1000x1.jpg",20333,"https://www.facebook.com/lunavokne/","https://itunes.apple.com/ua/album/%D0%B7%D0%B0%D0%BA%D0%BE%D0%BB%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5-%D1%81%D0%BD%D1%8B/1439087437?app=music&ign-mpt=uo%3D4","yes","усі альбоми"
"Любомир Мельник","Fallen Trees","sing285","","07.12.2019","dec","","instrumental","немає","","*","*","*","*","*","*","*","*","Kingston","чоловіча","Закордон",1,NA,"Requiem for a Fallen Tree","Lubomyr_Melnyk_Requiem_for_a_Fallen_Tree.mp3","https://toloka.to/photos/181124075905385484_f0_0.jpg",20334,"https://www.facebook.com/melnyk.lubomyr/","https://soundcloud.com/erasedtapes/lubomyr-melnyk-son-of-parasol","yes","усі альбоми"
"Мало","Як є","sing286","*","15.11.2019","nov","indie rock","indie","специфічна","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/malo_3000-1.jpg",20335,"https://www.facebook.com/malokyiv/","https://soundcloud.com/malokyiv/sets/yakye","","усі альбоми"
"Микола Макєєв","Бобот та енергія всесвіту","sing287","","02.11.2019","nov","soundtrack","instrumental","немає","","*","*","","*","","*","","*","Київ","чоловіча","Київ",NA,NA,"","","https://i1.sndcdn.com/artworks-000427464285-e74eja-t500x500.jpg",20394,"","https://soundcloud.com/rookodilla/sets/mikola-makv-bobot-ta-energya-vsesvtu-muzika-z-knoflmu","","усі альбоми"
"Миша","Мишtape #1","sing288","*","25.05.2019","may","Hip-Hop/Rap, R&B","hip hop & rap","російська","","*","","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://e-cdns-images.dzcdn.net/images/cover/a86a5c6ddf3202f418cf9af8bb7b8c86/200x200-000000-80-0-0.jpg",20336,"","https://itunes.apple.com/album/1382192940?app=music","","усі альбоми"
"Наталя Мирна","Сильною буду","sing289","","09.06.2019","jun","Art-pop-dream","pop","мікс","eng, рос","*","","","*","*","*","*","*","Львів","жіноча","Захід",NA,NA,"","","https://toloka.to/photos/1810181213212760_f0_0.jpg",20337,"https://www.facebook.com/nmyrna.official/","https://www.youtube.com/watch?v=lqEQITjBG0Q","","усі альбоми"
"Неизвестность.","Хайпаголик 2","sing290","","19.04.2019","apr","mixtape","hip hop & rap","російська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://i1.sndcdn.com/artworks-000337224099-70cl2f-t500x500.jpg",20338,"https://www.facebook.com/kyivstonerofficial","https://soundcloud.com/kyivstoner/sets/neizvestnost-kh-banger","","усі альбоми"
"Нумер 482","ДРУ","sing291","","16.11.2019","nov","pop","rock","українська","","*","","","*","*","*","*","*","Одеса","чоловіча","Південь",NA,NA,"","","https://rock.ua/rockdb/i/cd/full/1165-dru.jpg",20360,"https://www.facebook.com/numer482/","https://www.deezer.com/en/album/78625912","","усі альбоми"
"Останній Притулок","Кімната","sing292","*","23.08.2019","aug","rock","rock","українська","","","*","","*","*","*","*","","Київ","чоловіча","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/pritulok-400.jpg",20339,"https://www.facebook.com/oprytulok/","https://soundcloud.com/oprytulok/sets/kmnata","","усі альбоми"
"Павел Игнатьев","Колокола души","sing293","","24.05.2019","may","modern classic, jazz, improvisations","instrumental","немає","","*","","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://e-cdns-images.dzcdn.net/images/cover/f7517482ae6d904b096fb24fae76128d/500x500.jpg",20340,"https://www.facebook.com/PavelIgnatyevPavelIgnatev/","https://itunes.apple.com/us/album/%D0%BA%D0%BE%D0%BB%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0-%D0%B4%D1%83%D1%88%D0%B8/1386186256","","усі альбоми"
"ПИРЯТИН","Атентат","sing294","*","16.02","feb","rock/power country","rock","специфічна","","*","*","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://upload.wikimedia.org/wikipedia/uk/thumb/4/4c/%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png/250px-%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png",20341,"https://www.facebook.com/PyryatynGurt/","https://soundcloud.com/pyryatyn/sets/atentat-1","","усі альбоми"
"правила поведения с пьяным мужем","том III","sing295","","10.01.2019","jan","indie","indie","російська","","","*","*","","","","*","","Львів","чоловіча","Захід",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/q0v-ucixf_g.jpg",20402,"","https://soundcloud.com/drunkhusband/sets/pravila-povedeniya-s-pyanym-muzhem-tom-iii","","усі альбоми"
"Псючий Син","ТОРБА","sing296","*","18.09.2019","sep","rap","hip hop & rap","мікс","eng","","*","*","","","","*","","Калуш","чоловіча","Захід",1,NA,"","","https://f4.bcbits.com/img/a4210461279_16.jpg",20342,"https://www.facebook.com/%D0%9F%D1%81%D1%8E%D1%87%D0%B8%D0%B9-%D0%A1%D0%B8%D0%BD-577424929319147","https://soundcloud.com/doggyson235/sets/2018-prod-by-angelo-porter","","усі альбоми"
"Руки'в Брюки","Jumpin' & Humpin'","sing297","","27.12.2019","dec","Rock-n-roll","r&b and soul","англійська","","","","*","*","*","*","","*","Київ","чоловіча","Київ",1,NA,"Back on the Road Again","RvB_Back_on_the_Road_Again.mp3","https://f4.bcbits.com/img/a1274563867_16.jpg",20365,"https://www.facebook.com/rukivbryuki.rvb/?__tn__=K-R&eid=ARAFechcO1tfhUmivdIXlWOCSwLDsPloBpRJGPOED8PfI4PYf7kuFoD0rpZc-RUlWjvY1QPscbB5TVzJ&fref=mentions&__xts__%5b0%5d=68.ARB7T33jP-AvEVpsCN21hixV60nX7XhkqnpJUoqVpeYT3uTpnc5l-aCNHUJ_DbhcEn_KQwXFHftpNCdtbcdX7ZZgXxeCQ_xLn3fS6YD9M84_bLFwPnnLScZcyBtv37SyhnkswkmNCZ3DXV_PiZFIwYvTkLKJo0fs4vj45slK4TJAG3jyB4idQBpMzfsKFY7stpl9rg","https://rukivbryuki.bandcamp.com/album/jumpin-humpin?fbclid=IwAR3X1ykZp9d7yECsifAtKk2-VyhQ2zu3xcN9VzXPodp6QsFHPgsMQqIuQlU","yes","усі альбоми"
"Сергій Бабкін","Музасфера","sing298","","01.10.2019","oct","pop","pop","українська","","*","","","*","*","*","*","*","Харків","чоловіча","Схід",NA,NA,"","","https://m.clutch.ua/wp-content/uploads/2018/10/39370556_256876758490031_6442726530342124189_n.jpg",20343,"https://www.facebook.com/babkin.official/","https://itunes.apple.com/album/id1436122526","","усі альбоми"
"Січгарт","Честь та Кров","sing299","","13.11.2019","nov","cossaks thrash / death metal","metal","українська","","*","","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://f4.bcbits.com/img/a1427614514_10.jpg",20373,"https://www.facebook.com/Sichgart/","https://sichgart.bandcamp.com/album/--2","","усі альбоми"
"СКАЙ","Рідкісні птахи","sing300","","01.11.2019","nov","","pop","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://upload.wikimedia.org/wikipedia/uk/thumb/a/aa/%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg/250px-%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg",20344,"https://www.facebook.com/skaiband/","https://www.youtube.com/playlist?list=PLelAAubckbsfgucClDV5t0fnNy8CU49PH","","усі альбоми"
