"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"Inner Suffering","Slow Dance On The Ashes Of Failure","sing135","","03.02","feb","","metal","англійська","","","","*","","","","*","","Tulsa (USA)","мікс","Закордон",NA,NA,"","","https://f4.bcbits.com/img/a0215637546_16.jpg",20227,"https://www.facebook.com/Inner-Suffering-164436420866143/","https://innersuffering.bandcamp.com/album/slow-dance-on-the-ashes-of-failure","","усі альбоми"
"Ivan NAVI","Такі Молоді","sing136","*","09.10.2019","oct","","pop","українська","","*","","","*","*","*","*","*","Львів","чоловіча","Захід",NA,NA,"","","http://radioclub.ua/thumb/og_image_600x315_song/images/songs/2016/63/5b/58298a4de1088_58298a4c841b2.jpg",20228,"https://www.facebook.com/ivanofficialnavi","https://www.youtube.com/playlist?list=PLSql_sUXfrOKw-GkkWXydOY0V44OoDDs2","","усі альбоми"
"Ivan Блюz & Ігор Набаранчук","Наше останнє","sing137","","24.09.2019","sep","rock & alternative","rock","українська","","","","","","","","*","","Київ","чоловіча","Київ",NA,NA,"","","https://i.ytimg.com/vi/2aEsR8jVtVk/maxresdefault.jpg",20229,"","https://www.youtube.com/watch?v=2aEsR8jVtVk","","усі альбоми"
"Jamala","Крила","sing138","","23.11.2019","nov","pop","pop","мікс","eng","*","*","","*","*","*","","*","Київ","жіноча","Київ",1,1,"Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no",20230,"https://www.facebook.com/jamalaofficial/","https://itunes.apple.com/ua/album/%D0%BA%D1%80%D0%B8%D0%BB%D0%B0/1437159875?l=ru","yes","усі альбоми"
"Jinjer","Cloud Factory","sing139","","16.02","feb","Groove metal","metal","мікс","рос","*","*","*","*","*","*","*","*","Донецьк","мікс","Схід",1,NA,"Bad Water","Jinjer_Bad_Water.mp3","https://images.genius.com/bc6a0e3c5666c1feb8b498c5398bfe7e.700x700x1.jpg",20231,"https://www.facebook.com/JinjerOfficial/","https://itunes.apple.com/ru/album/cloud-factory/1323278426","yes","усі альбоми"
"Joneser","ВІЛЬНІ","sing140","*","06.04.2019","apr","indie-rock","pop","українська","","*","*","","*","*","","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/joneser400.jpg",20232,"https://www.facebook.com/joneser99/","https://soundcloud.com/joneser99/sets/vilni","","усі альбоми"
"Joryj Kłoc","KORA","sing141","","10.02","feb","rock, folk, ethno","ethno","українська","","","","*","*","","","","","Львів ","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a2602113520_16.jpg",20380,"https://www.facebook.com/Joryj.Kloc.wataga/","https://play.google.com/store/music/album/Joryj_K%C5%82oc_KORA?id=Br3w4rvxccgodjngy4hb6xpppum&fbclid=IwAR0Y0O-wVOs0fRrkpGpj48CZk_VM0nubM1X4KGmRraqbrFRcHkICihF3q2Q","","усі альбоми"
"JULINOZA","I Am Riff","sing142","","03.07","jul","breakbeat","jazz","мікс","рос, укр","*","*","","*","*","*","*","","Одеса","мікс","Південь",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/july400.jpg",20233,"https://www.facebook.com/JulinozaMusic/","https://itunes.apple.com/us/album/i-am-riff/1400058032?app=apple%20music&ign-mpt=uo%3D4","","усі альбоми"
"JULINOZA","The Conductor of Imagination","sing143","","23.04.2019","apr","jazz, blues","jazz","мікс","рос","*","*","","*","*","*","*","*","Одеса","мікс","Південь",NA,NA,"","","https://images.shazam.com/coverart/t107137983-b1372591830_s400.jpg",20234,"https://www.facebook.com/JulinozaMusic/","https://itunes.apple.com/us/album/the-conductor-of-imagination/1372591829","","усі альбоми"
"KAZKA","KARMA","sing144","*","27.04.2019","apr","pop","pop","українська","","*","","","*","*","*","*","*","Київ","мікс","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/KAZKA_KARMA_400.jpg",20235,"https://www.facebook.com/kazka.band/?ref=br_rs","https://itunes.apple.com/ua/album/karma/1373736543?app=music&ign-mpt=uo%3D4","","усі альбоми"
